id,kind,parsed_dt,rrule,text,core
771,date-only,2024-03-12T00:00:00+00:00,,Odd jobs: 12/03/2024 pay electricity bill,12/03/2024
772,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Groceries: call plumber every Friday,every Friday
773,recurrence-only,,FREQ=DAILY;INTERVAL=2,every second day book dentist,every second day
774,date-only,2026-01-28T00:00:00+00:00,,Next: 2026-01-28 update spreadsheet at Bunnings,2026-01-28
775,recurrence-only,,FREQ=MONTHLY,Odd jobs: mow the lawn every month on the 1st — before lunch,every month on the 1st
776,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Plan: call plumber every week on Monday at 9am — before lunch,every week on Monday at 9am
777,recurrence-only,,FREQ=WEEKLY,Next: every weekend clean garage — before lunch,every weekend
778,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Note: update spreadsheet every weekend on weekdays at Bunnings,every weekend on weekdays
779,date-only,2024-10-26T00:00:00+00:00,,Odd jobs: 26/10/2024 clean garage (evening),26/10/2024
780,date-only,2025-09-04T00:00:00+00:00,,Groceries: 04/09/2025 book dentist,04/09/2025
781,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Chore: review PR every year on 25/12,every year on 25/12
782,date-only,2025-05-06T00:00:00+00:00,,Odd jobs: 06/05/2025 buy milk,06/05/2025
783,date-only,2025-11-10T00:00:00+00:00,,Task: pay electricity bill 10/11/2025 (low),10/11/2025
784,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Task: update spreadsheet every quarter after work,every quarter
785,date-only,2026-08-28T00:00:00+00:00,,Bills: review PR 08/28/2026 #work,08/28/2026
786,date-only,2025-11-14T00:00:00+00:00,,Plan: buy milk 11/14/2025,11/14/2025
787,recurrence-only,,FREQ=DAILY;INTERVAL=5,wash car every 5 days on weekends with John,every 5 days on weekends
788,date-only,2026-01-08T00:00:00+00:00,,Task: pay electricity bill 08/01/2026 (low),08/01/2026
789,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Groceries: backup photos every 2 months,every 2 months
790,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,TODO: update spreadsheet each fortnight on weekdays (evening),each fortnight on weekdays
791,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Next: every Tuesday buy milk — before lunch,every Tuesday
792,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Reminder: every 4 weeks at 5:30pm backup photos #home,every 4 weeks at 5:30pm
793,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Next: clean garage every Monday on weekdays #work,every Monday on weekdays
794,date-only,2025-06-17T00:00:00+00:00,,Plan: 17/06/2025 clean garage,17/06/2025
795,recurrence+date,2026-04-05T00:00:00+00:00,FREQ=MONTHLY,Task: clean garage every month on the 1st starting 05/04/2026 — before lunch,every month on the 1st starting 05/04/2026
796,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,water the plants every quarter on weekends — before lunch,every quarter on weekends
797,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Note: water the plants every Sunday after work,every Sunday
798,recurrence-only,,FREQ=WEEKLY,Plan: review PR every weekend at 5:30pm,every weekend at 5:30pm
799,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,every 4 weeks book dentist #work,every 4 weeks
800,date-only,2025-06-24T00:00:00+00:00,,Errands: wash car 2025-06-24 after work,2025-06-24
801,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Note: every Sunday on weekends call plumber after work,every Sunday on weekends
802,date-only,2025-04-22T00:00:00+00:00,,Note: wash car 22/04/2025 — before lunch,22/04/2025
803,date-only,2026-02-09T00:00:00+00:00,,Plan: mow the lawn 2026-02-09 (evening),2026-02-09
804,date-only,2026-08-24T00:00:00+00:00,,Odd jobs: 24/08/2026 update spreadsheet,24/08/2026
805,recurrence-only,,FREQ=DAILY;INTERVAL=5,Task: wash car every 5 days,every 5 days
806,recurrence-only,,FREQ=DAILY;INTERVAL=5,Follow up: update spreadsheet every 5 days,every 5 days
807,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Odd jobs: review PR every quarter with John,every quarter
808,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Note: every Friday book dentist #home,every Friday
809,date-only,2024-10-24T00:00:00+00:00,,call plumber 24/10/2024,24/10/2024
810,date-only,2026-02-14T00:00:00+00:00,,Bills: email client 14/02/2026,14/02/2026
811,date-only,2024-11-18T00:00:00+00:00,,Follow up: 2024-11-18 pay electricity bill (evening),2024-11-18
812,date-only,2024-11-22T00:00:00+00:00,,Bills: backup photos 11/22/2024 #home,11/22/2024
813,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Bills: every Friday update spreadsheet #home,every Friday
814,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Chore: wash car every Friday with John,every Friday
815,date-only,2026-06-15T00:00:00+00:00,,Bills: 2026-06-15 call plumber #home,2026-06-15
816,date-only,2025-06-17T00:00:00+00:00,,clean garage 17/06/2025,17/06/2025
817,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Note: book dentist every Thursday at Bunnings,every Thursday
818,date-only,2026-06-30T00:00:00+00:00,,Errands: 30/06/2026 book dentist at Bunnings,30/06/2026
819,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Follow up: every 2 months backup photos at Bunnings,every 2 months
820,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Bills: update spreadsheet every 4 weeks after work,every 4 weeks
821,recurrence-only,,FREQ=DAILY;INTERVAL=3,update spreadsheet every 3 days,every 3 days
822,date-only,2025-04-15T00:00:00+00:00,,Next: 2025-04-15 wash car,2025-04-15
823,recurrence-only,,FREQ=DAILY;INTERVAL=4,Errands: pay electricity bill every 4 days,every 4 days
824,date-only,2026-02-04T00:00:00+00:00,,04/02/2026 mow the lawn after work,04/02/2026
825,recurrence-only,,FREQ=DAILY;INTERVAL=3,call plumber every 3 days,every 3 days
826,recurrence-only,,FREQ=YEARLY,book dentist every year (evening),every year
827,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Follow up: every 2 weeks clean garage — asap,every 2 weeks
828,date-only,2026-06-10T00:00:00+00:00,,Bills: pay electricity bill 2026-06-10,2026-06-10
829,date-only,2025-05-23T00:00:00+00:00,,Follow up: water the plants 05/23/2025 #work,05/23/2025
830,date-only,2025-03-13T00:00:00+00:00,,Next: water the plants 2025-03-13 — before lunch,2025-03-13
831,date-only,2024-10-19T00:00:00+00:00,,update spreadsheet 10/19/2024 — before lunch,10/19/2024
832,date-only,2025-10-15T00:00:00+00:00,,Reminder: update spreadsheet 2025-10-15 #work,2025-10-15
833,recurrence-only,,FREQ=DAILY;INTERVAL=4,Errands: every 4 days update spreadsheet,every 4 days
834,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Reminder: review PR every second week,every second week
835,recurrence+date,2026-03-15T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SU,Next: every Sunday starting 15/03/2026 pay electricity bill — asap,every Sunday starting 15/03/2026
836,recurrence-only,,FREQ=DAILY;INTERVAL=5,Chore: every 5 days wash car,every 5 days
837,date-only,2025-01-24T00:00:00+00:00,,Reminder: wash car 01/24/2025 — before lunch,01/24/2025
838,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Next: call plumber every Friday after work,every Friday
839,date-only,2024-11-22T00:00:00+00:00,,TODO: pay electricity bill 11/22/2024,11/22/2024
840,date-only,2025-04-23T00:00:00+00:00,,TODO: water the plants 2025-04-23 #home,2025-04-23
841,date-only,2024-10-30T00:00:00+00:00,,Task: call plumber 10/30/2024,10/30/2024
842,recurrence-only,,FREQ=DAILY,Plan: call plumber every day,every day
843,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Plan: every 3 weeks review PR #work,every 3 weeks
844,date-only,2024-10-25T00:00:00+00:00,,Reminder: book dentist 25/10/2024 #home,25/10/2024
845,date-only,2026-04-25T00:00:00+00:00,,25/04/2026 water the plants (evening),25/04/2026
846,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Note: book dentist every Tuesday at Bunnings,every Tuesday
847,date-only,2026-08-24T00:00:00+00:00,,review PR 24/08/2026 (evening),24/08/2026
848,recurrence-only,,FREQ=MONTHLY,TODO: update spreadsheet every month at 5:30pm (evening),every month at 5:30pm
849,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,mow the lawn every quarter,every quarter
850,date-only,2024-10-08T00:00:00+00:00,,Task: 08/10/2024 book dentist (low),08/10/2024
851,date-only,2026-05-21T00:00:00+00:00,,Reminder: update spreadsheet 2026-05-21,2026-05-21
852,date-only,2026-07-07T00:00:00+00:00,,Errands: clean garage 2026-07-07 — before lunch,2026-07-07
853,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Chore: water the plants every Friday at 9am for project X,every Friday at 9am
854,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Follow up: update spreadsheet every Thursday,every Thursday
855,recurrence-only,,FREQ=MONTHLY,Errands: pay electricity bill every month on the 1st at 9am,every month on the 1st at 9am
856,recurrence-only,,FREQ=MONTHLY,Task: every month book dentist with John,every month
857,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: book dentist every 2 weeks on weekends,every 2 weeks on weekends
858,recurrence-only,,FREQ=DAILY;INTERVAL=4,Odd jobs: backup photos every 4 days after work,every 4 days
859,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Bills: review PR every Saturday (low),every Saturday
860,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Plan: every Thursday mow the lawn for project X,every Thursday
861,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,review PR every Wednesday at Bunnings,every Wednesday
862,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,review PR every second week — asap,every second week
863,recurrence-only,,FREQ=DAILY;INTERVAL=2,Chore: every second day at 5:30pm pay electricity bill for project X,every second day at 5:30pm
864,date-only,2026-07-29T00:00:00+00:00,,Odd jobs: 29/07/2026 review PR,29/07/2026
865,recurrence+date,2026-09-17T00:00:00+00:00,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",TODO: update spreadsheet every weekday starting 09/17/2026 after work,every weekday starting 09/17/2026
866,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Follow up: buy milk every Tuesday,every Tuesday
867,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Plan: every Thursday backup photos #home,every Thursday
868,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,mow the lawn each fortnight at 9am #work,each fortnight at 9am
869,date-only,2025-04-10T00:00:00+00:00,,Groceries: water the plants 10/04/2025,10/04/2025
870,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Bills: every 4 weeks email client,every 4 weeks
871,recurrence-only,,FREQ=DAILY;INTERVAL=2,Next: every 2 days mow the lawn (low),every 2 days
872,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Groceries: email client every quarter #work,every quarter
873,date-only,2025-07-26T00:00:00+00:00,,Groceries: update spreadsheet 26/07/2025 — asap,26/07/2025
874,date-only,2026-06-27T00:00:00+00:00,,TODO: 2026-06-27 buy milk — before lunch,2026-06-27
875,recurrence-only,,FREQ=WEEKLY,Errands: every weekend book dentist for project X,every weekend
876,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Bills: buy milk every quarter on weekends — asap,every quarter on weekends
877,date-only,2025-08-16T00:00:00+00:00,,Note: 2025-08-16 email client after work,2025-08-16
878,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Follow up: every Tuesday email client at Bunnings,every Tuesday
879,date-only,2026-03-27T00:00:00+00:00,,TODO: 2026-03-27 buy milk #home,2026-03-27
880,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Chore: update spreadsheet every Thursday #home,every Thursday
881,recurrence+date,2026-06-29T00:00:00+00:00,FREQ=MONTHLY,Bills: call plumber every month on the 1st starting 2026-06-29,every month on the 1st starting 2026-06-29
882,recurrence-only,,FREQ=WEEKLY,buy milk every weekend — before lunch,every weekend
883,recurrence+date,2026-01-17T00:00:00+00:00,FREQ=WEEKLY;BYDAY=MO,Odd jobs: every Monday starting 17/01/2026 backup photos after work,every Monday starting 17/01/2026
884,date-only,2026-03-13T00:00:00+00:00,,TODO: wash car 2026-03-13 with John,2026-03-13
885,date-only,2025-12-05T00:00:00+00:00,,Follow up: 05/12/2025 mow the lawn,05/12/2025
886,date-only,2026-05-11T00:00:00+00:00,,TODO: review PR 11/05/2026 with John,11/05/2026
887,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,email client every 2 weeks (low),every 2 weeks
888,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Bills: update spreadsheet every 4 weeks for project X,every 4 weeks
889,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Reminder: email client every Monday (low),every Monday
890,recurrence-only,,FREQ=YEARLY,clean garage every year,every year
891,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Errands: every Saturday wash car,every Saturday
892,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Odd jobs: mow the lawn every quarter for project X,every quarter
893,date-only,2025-03-17T00:00:00+00:00,,Follow up: email client 2025-03-17,2025-03-17
894,recurrence-only,,FREQ=DAILY;INTERVAL=2,Plan: pay electricity bill every second day on weekdays at Bunnings,every second day on weekdays
895,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",book dentist every weekday at Bunnings,every weekday
896,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Errands: email client every Thursday #work,every Thursday
897,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Task: review PR every quarter,every quarter
898,recurrence+date,2026-09-08T00:00:00+00:00,FREQ=MONTHLY,Odd jobs: backup photos every month starting 2026-09-08,every month starting 2026-09-08
899,date-only,2024-10-05T00:00:00+00:00,,Next: 05/10/2024 book dentist,05/10/2024
900,date-only,2025-04-20T00:00:00+00:00,,Follow up: email client 04/20/2025 #home,04/20/2025
901,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Follow up: every Sunday update spreadsheet,every Sunday
902,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Errands: backup photos every Sunday,every Sunday
903,date-only,2026-05-01T00:00:00+00:00,,Note: update spreadsheet 2026-05-01 (evening),2026-05-01
904,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Chore: every Friday call plumber,every Friday
905,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Bills: water the plants every Friday (evening),every Friday
906,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Reminder: every second week review PR — asap,every second week
907,date-only,2025-11-24T00:00:00+00:00,,Follow up: 24/11/2025 buy milk #work,24/11/2025
908,date-only,2026-08-16T00:00:00+00:00,,buy milk 2026-08-16 after work,2026-08-16
909,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,every 2 weeks water the plants,every 2 weeks
910,recurrence-only,,FREQ=MONTHLY,Follow up: water the plants every month — asap,every month
911,date-only,2025-01-14T00:00:00+00:00,,Next: water the plants 14/01/2025 (evening),14/01/2025
912,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Errands: book dentist every 3 weeks,every 3 weeks
913,date-only,2025-07-10T00:00:00+00:00,,Plan: water the plants 10/07/2025 (low),10/07/2025
914,date-only,2024-09-29T00:00:00+00:00,,Next: 29/09/2024 call plumber — asap,29/09/2024
915,recurrence-only,,FREQ=DAILY;INTERVAL=2,Plan: every second day clean garage — before lunch,every second day
916,date-only,2025-07-28T00:00:00+00:00,,Groceries: book dentist 07/28/2025,07/28/2025
917,recurrence-only,,FREQ=WEEKLY,Task: backup photos every weekend with John,every weekend
918,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Reminder: every year on 25/12 wash car — before lunch,every year on 25/12
919,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Follow up: every 4 weeks call plumber at Bunnings,every 4 weeks
920,recurrence-only,,FREQ=DAILY;INTERVAL=4,Reminder: update spreadsheet every 4 days at Bunnings,every 4 days
921,date-only,2026-07-03T00:00:00+00:00,,Plan: mow the lawn 03/07/2026,03/07/2026
922,recurrence-only,,FREQ=MONTHLY,Next: every month on the 1st on weekends email client at Bunnings,every month on the 1st on weekends
923,recurrence+date,2025-01-24T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SU,Odd jobs: wash car every Sunday starting 24/01/2025 at Bunnings,every Sunday starting 24/01/2025
924,date-only,2025-06-17T00:00:00+00:00,,Reminder: 17/06/2025 backup photos with John,17/06/2025
925,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Follow up: every year on weekdays book dentist for project X,every year on weekdays
926,date-only,2024-11-24T00:00:00+00:00,,wash car 2024-11-24 #work,2024-11-24
927,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Task: buy milk every 2 months,every 2 months
928,date-only,2024-12-02T00:00:00+00:00,,Task: 2024-12-02 call plumber (evening),2024-12-02
929,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Plan: backup photos every 2 months at Bunnings,every 2 months
930,date-only,2026-09-23T00:00:00+00:00,,Groceries: buy milk 09/23/2026 — before lunch,09/23/2026
931,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,TODO: every Sunday at 5:30pm update spreadsheet — asap,every Sunday at 5:30pm
932,date-only,2024-12-22T00:00:00+00:00,,Follow up: review PR 12/22/2024 at Bunnings,12/22/2024
933,recurrence-only,,FREQ=MONTHLY,TODO: mow the lawn every month #home,every month
934,date-only,2025-11-26T00:00:00+00:00,,Next: backup photos 26/11/2025 after work,26/11/2025
935,date-only,2026-03-04T00:00:00+00:00,,Groceries: buy milk 04/03/2026 after work,04/03/2026
936,recurrence-only,,FREQ=DAILY;INTERVAL=3,mow the lawn every 3 days for project X,every 3 days
937,date-only,2025-07-04T00:00:00+00:00,,TODO: review PR 2025-07-04 after work,2025-07-04
938,date-only,2025-09-04T00:00:00+00:00,,Chore: 04/09/2025 book dentist (evening),04/09/2025
939,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,clean garage every Thursday for project X,every Thursday
940,date-only,2025-09-14T00:00:00+00:00,,Plan: wash car 14/09/2025,14/09/2025
941,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Reminder: water the plants every Monday (evening),every Monday
942,date-only,2026-01-15T00:00:00+00:00,,Groceries: update spreadsheet 2026-01-15,2026-01-15
943,date-only,2025-02-20T00:00:00+00:00,,Task: call plumber 20/02/2025 after work,20/02/2025
944,recurrence-only,,FREQ=YEARLY,Bills: every year buy milk,every year
945,date-only,2025-01-02T00:00:00+00:00,,backup photos 02/01/2025,02/01/2025
946,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Follow up: every Wednesday review PR for project X,every Wednesday
947,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Task: every week on Monday email client — asap,every week on Monday
948,date-only,2025-03-11T00:00:00+00:00,,Next: 2025-03-11 water the plants,2025-03-11
949,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,every Wednesday backup photos — asap,every Wednesday
950,date-only,2025-10-08T00:00:00+00:00,,Reminder: email client 2025-10-08 after work,2025-10-08
951,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Reminder: every 2 weeks at 5:30pm mow the lawn (evening),every 2 weeks at 5:30pm
952,date-only,2026-03-21T00:00:00+00:00,,Task: water the plants 03/21/2026 at Bunnings,03/21/2026
953,date-only,2026-01-09T00:00:00+00:00,,Note: buy milk 09/01/2026,09/01/2026
954,date-only,2025-03-26T00:00:00+00:00,,Plan: 26/03/2025 update spreadsheet (low),26/03/2025
955,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Groceries: review PR every Saturday (evening),every Saturday
956,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: update spreadsheet every week on Monday (evening),every week on Monday
957,date-only,2026-01-03T00:00:00+00:00,,Errands: call plumber 2026-01-03 #work,2026-01-03
958,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Errands: water the plants every Friday #work,every Friday
959,recurrence-only,,FREQ=DAILY;INTERVAL=4,review PR every 4 days at 5:30pm (low),every 4 days at 5:30pm
960,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,buy milk every Wednesday #home,every Wednesday
961,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,every 2 months wash car,every 2 months
962,recurrence-only,,FREQ=DAILY;INTERVAL=4,buy milk every 4 days — asap,every 4 days
963,recurrence-only,,FREQ=DAILY;INTERVAL=4,call plumber every 4 days on weekends with John,every 4 days on weekends
964,recurrence-only,,FREQ=YEARLY,Reminder: mow the lawn every year,every year
965,date-only,2024-12-23T00:00:00+00:00,,Reminder: email client 2024-12-23,2024-12-23
966,recurrence-only,,FREQ=MONTHLY,Plan: every month at 5:30pm pay electricity bill — asap,every month at 5:30pm
967,date-only,2026-05-06T00:00:00+00:00,,TODO: buy milk 06/05/2026 for project X,06/05/2026
968,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Task: review PR every Monday — before lunch,every Monday
969,recurrence+date,2025-09-18T00:00:00+00:00,FREQ=WEEKLY;BYDAY=FR,every Friday starting 18/09/2025 pay electricity bill at Bunnings,every Friday starting 18/09/2025
970,recurrence-only,,FREQ=DAILY,Odd jobs: call plumber every day on weekends for project X,every day on weekends
971,recurrence+date,2026-05-14T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,TODO: each fortnight starting 05/14/2026 mow the lawn,each fortnight starting 05/14/2026
972,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Groceries: clean garage every Monday with John,every Monday
973,recurrence-only,,FREQ=DAILY,Groceries: backup photos every day,every day
974,date-only,2025-06-11T00:00:00+00:00,,11/06/2025 mow the lawn — before lunch,11/06/2025
975,recurrence-only,,FREQ=DAILY;INTERVAL=2,Task: every 2 days email client — asap,every 2 days
976,date-only,2025-01-07T00:00:00+00:00,,TODO: update spreadsheet 07/01/2025,07/01/2025
977,date-only,2026-01-23T00:00:00+00:00,,Next: backup photos 23/01/2026 for project X,23/01/2026
978,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Odd jobs: clean garage every Thursday #work,every Thursday
979,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,update spreadsheet every quarter (evening),every quarter
980,date-only,2025-02-14T00:00:00+00:00,,Task: 02/14/2025 clean garage — asap,02/14/2025
981,date-only,2025-09-14T00:00:00+00:00,,Bills: email client 14/09/2025 #home,14/09/2025
982,date-only,2026-08-14T00:00:00+00:00,,Plan: pay electricity bill 2026-08-14 with John,2026-08-14
983,date-only,2025-05-14T00:00:00+00:00,,Note: 14/05/2025 call plumber #home,14/05/2025
984,date-only,2025-04-13T00:00:00+00:00,,TODO: 13/04/2025 email client #home,13/04/2025
985,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,review PR every 4 weeks — before lunch,every 4 weeks
986,recurrence-only,,FREQ=YEARLY,Note: every year buy milk for project X,every year
987,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Next: pay electricity bill every year on 25/12 (evening),every year on 25/12
988,date-only,2024-10-15T00:00:00+00:00,,Next: wash car 10/15/2024,10/15/2024
989,date-only,2025-09-22T00:00:00+00:00,,Reminder: 22/09/2025 email client (low),22/09/2025
990,recurrence-only,,FREQ=DAILY;INTERVAL=5,Note: every 5 days on weekends water the plants (evening),every 5 days on weekends
991,date-only,2025-10-21T00:00:00+00:00,,mow the lawn 2025-10-21,2025-10-21
992,date-only,2026-03-27T00:00:00+00:00,,27/03/2026 buy milk for project X,27/03/2026
993,date-only,2024-10-31T00:00:00+00:00,,10/31/2024 email client,10/31/2024
994,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Note: every 4 weeks update spreadsheet with John,every 4 weeks
995,date-only,2026-01-19T00:00:00+00:00,,Errands: water the plants 2026-01-19 after work,2026-01-19
996,date-only,2025-11-22T00:00:00+00:00,,Reminder: update spreadsheet 2025-11-22 (low),2025-11-22
997,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,every Saturday call plumber,every Saturday
998,recurrence-only,,FREQ=DAILY;INTERVAL=4,book dentist every 4 days at 5:30pm at Bunnings,every 4 days at 5:30pm
999,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Next: mow the lawn every weekday for project X,every weekday
1000,recurrence+date,2025-12-25T00:00:00+00:00,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",review PR every year on 25/12 on weekdays #work,every year on 25/12 on weekdays
